date,tone_score
2022-04-22,1.0829
2022-04-23,0.3331
2022-04-24,0.2112
2022-04-25,0.3869
2022-04-26,-0.0834
2022-04-27,0.5278
2022-04-28,1.8148
2022-04-29,1.1838
2022-04-30,-1.1675
2022-05-01,-0.2154
2022-05-02,-0.2849
2022-05-03,0.7927
2022-05-04,-0.2261
2022-05-05,0.0948
2022-05-06,0.2306
2022-05-07,0.3676
2022-05-08,-0.0019
2022-05-09,-1.3038
2022-05-10,-2.4859
2022-05-11,-0.0327
2022-05-12,-1.2112
2022-05-13,-0.6596
2022-05-14,-0.1804
2022-05-15,0.6115
2022-05-16,0.0968
2022-05-17,1.3849
2022-05-18,0.9906
2022-05-19,0.4461
2022-05-20,0.4502
2022-05-21,1.686
2022-05-22,1.1269
2022-05-23,1.3778
2022-05-24,1.3999
2022-05-25,1.0451
2022-05-26,-0.2737
2022-05-27,-0.5571
2022-05-28,-1.6362
2022-05-29,0.5595
2022-05-30,0.2251
2022-05-31,0.7497
2022-06-01,0.4525
2022-06-02,-0.222
2022-06-03,-0.368
2022-06-04,0.1986
2022-06-05,0.0937
2022-06-06,0.1659
2022-06-07,0.8933
2022-06-08,1.3381
2022-06-09,1.0621
2022-06-10,1.2639
2022-06-11,-0.4229
2022-06-12,-0.2291
2022-06-13,-1.8835
2022-06-14,0.4119
2022-06-15,-1.6791
2022-06-16,-0.4091
2022-06-17,0.8122
2022-06-18,-1.9892
2022-06-19,-1.3341
2022-06-20,-1.8587
2022-06-21,1.0371
2022-06-22,0.7149
2022-06-23,1.2169
2022-06-24,0.5757
2022-06-25,-0.4251
2022-06-26,-1.6596
2022-06-27,0.4793
2022-06-28,1.3269
2022-06-29,-0.0018
2022-06-30,1.5607
2022-07-01,0.2552
2022-07-02,-0.2363
2022-07-03,-1.8733
2022-07-04,-0.1348
2022-07-05,0.2187
2022-07-06,-0.1231
2022-07-07,0.2863
2022-07-08,-0.4601
2022-07-09,-0.759
2022-07-10,-1.443
2022-07-11,0.278
2022-07-12,0.5359
2022-07-13,0.5648
2022-07-14,0.3653
2022-07-15,0.9752
2022-07-16,0.1812
2022-07-17,0.5914
2022-07-18,1.002
2022-07-19,0.0333
2022-07-20,-0.4766
2022-07-21,0.6602
2022-07-22,0.9351
2022-07-23,0.0192
2022-07-24,0.1497
2022-07-25,0.2129
2022-07-26,-0.5163
2022-07-27,0.5554
2022-07-28,-0.015
2022-07-29,0.8623
2022-07-30,2.9598
2022-07-31,1.3036
2022-08-01,1.2349
2022-08-02,0.1875
2022-08-03,-2.0931
2022-08-04,-0.3999
2022-08-05,-0.9094
2022-08-06,-0.9019
2022-08-07,0.1697
2022-08-08,-0.5693
2022-08-09,-0.4735
2022-08-10,0.6406
2022-08-11,0.5655
2022-08-12,0.1658
2022-08-13,0.9864
2022-08-14,1.0273
2022-08-15,-0.1633
2022-08-16,-1.5354
2022-08-17,0.6078
2022-08-18,-0.1603
2022-08-19,-1.5577
2022-08-20,0.3302
2022-08-21,-0.9527
2022-08-22,-0.7635
2022-08-23,-0.4597
2022-08-24,1.8198
2022-08-25,0.07
2022-08-26,-0.0968
2022-08-27,-0.6968
2022-08-28,-0.5048
2022-08-29,-0.5159
2022-08-30,-0.3229
2022-08-31,0.4852
2022-09-01,-1.6685
2022-09-02,-1.1681
2022-09-03,0.5485
2022-09-04,-0.6952
2022-09-05,-0.1471
2022-09-06,0.2542
2022-09-07,0.0754
2022-09-08,0.8315
2022-09-09,0.7401
2022-09-10,0.4385
2022-09-11,1.5056
2022-09-12,0.1895
2022-09-13,0.5568
2022-09-14,1.3686
2022-09-15,0.6127
2022-09-16,0.4001
2022-09-17,0.4849
2022-09-18,0.7948
2022-09-19,0.7998
2022-09-20,0.3495
2022-09-21,0.2352
2022-09-22,0.4453
2022-09-23,2.017
2022-09-24,1.1852
2022-09-25,-0.8746
2022-09-26,-1.256
2022-09-27,-0.1467
2022-09-28,2.149
2022-09-29,0.7708
2022-09-30,0.8634
2022-10-01,-0.5349
2022-10-02,0.3638
2022-10-03,0.7379
2022-10-04,1.946
2022-10-05,-0.332
2022-10-06,0.9507
2022-10-07,-0.5931
2022-10-08,-0.0676
2022-10-09,0.1796
2022-10-10,-0.1567
2022-10-11,0.9143
2022-10-12,-0.485
2022-10-13,-1.2161
2022-10-14,0.0218
2022-10-15,0.1423
2022-10-16,-0.2734
2022-10-17,1.282
2022-10-18,0.6063
2022-10-19,0.2275
2022-10-20,0.2996
2022-10-21,0.1772
2022-10-22,0.3856
2022-10-23,0.2626
2022-10-24,0.5963
2022-10-25,0.9011
2022-10-26,0.8743
2022-10-27,1.2466
2022-10-28,0.8819
2022-10-29,0.2046
2022-10-30,1.2003
2022-10-31,0.218
2022-11-01,1.1254
2022-11-02,1.1493
2022-11-03,2.5922
2022-11-04,2.0832
2022-11-05,0.3747
2022-11-06,0.8689
2022-11-07,-0.1242
2022-11-08,-0.8459
2022-11-09,-1.8046
2022-11-10,0.7581
2022-11-11,-2.6758
2022-11-12,-2.0549
2022-11-13,-2.4291
2022-11-14,-1.4792
2022-11-15,-1.1806
2022-11-16,-1.1304
2022-11-17,-1.6461
2022-11-18,-1.4018
2022-11-19,-0.5975
2022-11-20,-1.2117
2022-11-21,-1.4984
2022-11-22,-1.3955
2022-11-23,1.1856
2022-11-24,1.1658
2022-11-25,0.6379
2022-11-26,1.3088
2022-11-27,1.9732
2022-11-28,-0.7722
2022-11-29,0.3461
2022-11-30,0.1158
2022-12-01,1.7797
2022-12-02,1.8644
2022-12-03,2.5527
2022-12-04,3.3668
2022-12-05,0.4286
2022-12-06,0.9893
2022-12-07,0.9283
2022-12-08,-0.1785
2022-12-09,-0.0526
2022-12-10,1.3391
2022-12-11,-0.6073
2022-12-12,0.5582
2022-12-13,-0.0028
2022-12-14,0.578
2022-12-15,1.2959
2022-12-16,-1.5571
2022-12-17,-2.4226
2022-12-18,-0.2598
2022-12-19,0.8396
2022-12-20,2.4622
2022-12-21,-0.4171
2022-12-22,-0.0696
2022-12-23,-0.2784
2022-12-24,-0.1721
2022-12-25,-0.8865
2022-12-26,0.8559
2022-12-27,-0.1991
2022-12-28,-1.0626
2022-12-29,-0.8529
2022-12-30,-1.1285
2022-12-31,-1.9662
2023-01-01,-0.2959
