date,tone_score,tone_lag_1,tone_lag_2,tone_lag_3
2021-05-28,1.6819,0.3512,1.1554,0.4942
2021-05-29,1.0936,1.6819,0.3512,1.1554
2021-05-30,-1.2116,1.0936,1.6819,0.3512
2021-05-31,-0.5602,-1.2116,1.0936,1.6819
2021-06-01,-0.1931,-0.5602,-1.2116,1.0936
2021-06-02,1.1838,-0.1931,-0.5602,-1.2116
2021-06-03,2.2146,1.1838,-0.1931,-0.5602
2021-06-04,0.6741,2.2146,1.1838,-0.1931
2021-06-05,1.1775,0.6741,2.2146,1.1838
2021-06-06,2.3293,1.1775,0.6741,2.2146
2021-06-07,1.1217,2.3293,1.1775,0.6741
2021-06-08,0.6809,1.1217,2.3293,1.1775
2021-06-09,-0.5091,0.6809,1.1217,2.3293
2021-06-10,-0.743,-0.5091,0.6809,1.1217
2021-06-11,-1.2043,-0.743,-0.5091,0.6809
2021-06-12,0.5195,-1.2043,-0.743,-0.5091
2021-06-13,1.2997,0.5195,-1.2043,-0.743
2021-06-14,0.52,1.2997,0.5195,-1.2043
2021-06-15,1.818,0.52,1.2997,0.5195
2021-06-16,-0.1348,1.818,0.52,1.2997
2021-06-17,1.1942,-0.1348,1.818,0.52
2021-06-18,-2.1391,1.1942,-0.1348,1.818
2021-06-19,1.0333,-2.1391,1.1942,-0.1348
2021-06-20,0.8611,1.0333,-2.1391,1.1942
2021-06-21,0.4849,0.8611,1.0333,-2.1391
2021-06-22,1.1307,0.4849,0.8611,1.0333
2021-06-23,1.4284,1.1307,0.4849,0.8611
2021-06-24,1.0687,1.4284,1.1307,0.4849
2021-06-25,1.9351,1.0687,1.4284,1.1307
2021-06-26,-0.427,1.9351,1.0687,1.4284
2021-06-27,1.5807,-0.427,1.9351,1.0687
2021-06-28,0.2215,1.5807,-0.427,1.9351
2021-06-29,-1.1794,0.2215,1.5807,-0.427
2021-06-30,-1.1509,-1.1794,0.2215,1.5807
2021-07-01,2.0175,-1.1509,-1.1794,0.2215
2021-07-02,1.2458,2.0175,-1.1509,-1.1794
2021-07-03,0.2588,1.2458,2.0175,-1.1509
2021-07-04,0.016,0.2588,1.2458,2.0175
2021-07-05,-0.1429,0.016,0.2588,1.2458
2021-07-06,0.5732,-0.1429,0.016,0.2588
2021-07-07,-0.7741,0.5732,-0.1429,0.016
2021-07-08,0.7386,-0.7741,0.5732,-0.1429
2021-07-09,-0.6596,0.7386,-0.7741,0.5732
2021-07-10,-1.3694,-0.6596,0.7386,-0.7741
2021-07-11,-1.6376,-1.3694,-0.6596,0.7386
2021-07-12,0.637,-1.6376,-1.3694,-0.6596
2021-07-13,-0.0876,0.637,-1.6376,-1.3694
2021-07-14,0.6309,-0.0876,0.637,-1.6376
2021-07-15,-0.3437,0.6309,-0.0876,0.637
2021-07-16,0.9802,-0.3437,0.6309,-0.0876
2021-07-17,1.2953,0.9802,-0.3437,0.6309
2021-07-18,2.3367,1.2953,0.9802,-0.3437
2021-07-19,0.1561,2.3367,1.2953,0.9802
2021-07-20,1.8914,0.1561,2.3367,1.2953
2021-07-21,1.8777,1.8914,0.1561,2.3367
2021-07-22,0.6453,1.8777,1.8914,0.1561
2021-07-23,0.4351,0.6453,1.8777,1.8914
2021-07-24,1.3774,0.4351,0.6453,1.8777
2021-07-25,-0.5691,1.3774,0.4351,0.6453
2021-07-26,-1.6358,-0.5691,1.3774,0.4351
2021-07-27,1.2875,-1.6358,-0.5691,1.3774
2021-07-28,0.8335,1.2875,-1.6358,-0.5691
2021-07-29,2.2784,0.8335,1.2875,-1.6358
2021-07-30,-0.2126,2.2784,0.8335,1.2875
2021-07-31,-1.8322,-0.2126,2.2784,0.8335
2021-08-01,1.2804,-1.8322,-0.2126,2.2784
2021-08-02,2.1315,1.2804,-1.8322,-0.2126
2021-08-03,1.5708,2.1315,1.2804,-1.8322
2021-08-04,1.1327,1.5708,2.1315,1.2804
2021-08-05,2.1246,1.1327,1.5708,2.1315
2021-08-06,1.641,2.1246,1.1327,1.5708
2021-08-07,-2.1262,1.641,2.1246,1.1327
2021-08-08,0.7086,-2.1262,1.641,2.1246
2021-08-09,0.6738,0.7086,-2.1262,1.641
2021-08-10,0.4163,0.6738,0.7086,-2.1262
2021-08-11,0.5554,0.4163,0.6738,0.7086
2021-08-12,-0.1623,0.5554,0.4163,0.6738
2021-08-13,2.5311,-0.1623,0.5554,0.4163
2021-08-14,1.1761,2.5311,-0.1623,0.5554
2021-08-15,1.1938,1.1761,2.5311,-0.1623
2021-08-16,1.9357,1.1938,1.1761,2.5311
2021-08-17,-0.5866,1.9357,1.1938,1.1761
2021-08-18,-1.4741,-0.5866,1.9357,1.1938
2021-08-19,0.4989,-1.4741,-0.5866,1.9357
2021-08-20,1.6154,0.4989,-1.4741,-0.5866
2021-08-21,1.1897,1.6154,0.4989,-1.4741
2021-08-22,-0.0062,1.1897,1.6154,0.4989
2021-08-23,1.3028,-0.0062,1.1897,1.6154
2021-08-24,-0.1013,1.3028,-0.0062,1.1897
2021-08-25,1.1663,-0.1013,1.3028,-0.0062
2021-08-26,0.3853,1.1663,-0.1013,1.3028
2021-08-27,0.0417,0.3853,1.1663,-0.1013
2021-08-28,0.9198,0.0417,0.3853,1.1663
2021-08-29,1.3701,0.9198,0.0417,0.3853
2021-08-30,0.6498,1.3701,0.9198,0.0417
2021-08-31,0.6627,0.6498,1.3701,0.9198
2021-09-01,1.3237,0.6627,0.6498,1.3701
2021-09-02,0.6941,1.3237,0.6627,0.6498
2021-09-03,0.9244,0.6941,1.3237,0.6627
2021-09-04,0.1883,0.9244,0.6941,1.3237
2021-09-05,0.1173,0.1883,0.9244,0.6941
2021-09-06,0.9033,0.1173,0.1883,0.9244
2021-09-07,0.309,0.9033,0.1173,0.1883
2021-09-08,-0.168,0.309,0.9033,0.1173
2021-09-09,0.948,-0.168,0.309,0.9033
2021-09-10,0.0364,0.948,-0.168,0.309
2021-09-11,-0.2136,0.0364,0.948,-0.168
2021-09-12,-0.2052,-0.2136,0.0364,0.948
2021-09-13,0.5447,-0.2052,-0.2136,0.0364
2021-09-14,0.9431,0.5447,-0.2052,-0.2136
2021-09-15,-1.7604,0.9431,0.5447,-0.2052
2021-09-16,-1.0444,-1.7604,0.9431,0.5447
2021-09-17,0.6043,-1.0444,-1.7604,0.9431
2021-09-18,-0.2388,0.6043,-1.0444,-1.7604
2021-09-19,-1.2018,-0.2388,0.6043,-1.0444
2021-09-20,-0.6789,-1.2018,-0.2388,0.6043
2021-09-21,0.1437,-0.6789,-1.2018,-0.2388
2021-09-22,-0.7151,0.1437,-0.6789,-1.2018
2021-09-23,-1.2724,-0.7151,0.1437,-0.6789
2021-09-24,-2.1363,-1.2724,-0.7151,0.1437
2021-09-25,-1.6619,-2.1363,-1.2724,-0.7151
2021-09-26,-1.4396,-1.6619,-2.1363,-1.2724
2021-09-27,-0.6713,-1.4396,-1.6619,-2.1363
2021-09-28,0.6151,-0.6713,-1.4396,-1.6619
2021-09-29,0.6759,0.6151,-0.6713,-1.4396
2021-09-30,-0.6181,0.6759,0.6151,-0.6713
2021-10-01,0.32,-0.6181,0.6759,0.6151
2021-10-02,0.2798,0.32,-0.6181,0.6759
2021-10-03,0.3431,0.2798,0.32,-0.6181
2021-10-04,-0.5846,0.3431,0.2798,0.32
2021-10-05,-2.3911,-0.5846,0.3431,0.2798
2021-10-06,0.1607,-2.3911,-0.5846,0.3431
2021-10-07,1.0738,0.1607,-2.3911,-0.5846
2021-10-08,1.6291,1.0738,0.1607,-2.3911
2021-10-09,0.4564,1.6291,1.0738,0.1607
2021-10-10,2.5947,0.4564,1.6291,1.0738
2021-10-11,1.484,2.5947,0.4564,1.6291
